track_name,artist_name,album,genres,release_date,duration_ms,popularity,added_at
Never Let Go,Blake Rose,Suddenly Okay,"australian electropop, singer-songwriter pop",2024-03-22,156008,40,2024-04-23 10:30:36
Last Walk Home,Blake Rose,Suddenly Okay,"australian electropop, singer-songwriter pop",2024-03-22,175597,28,2024-04-23 10:24:34
How Do We Stay In Love,Blake Rose,Suddenly Okay,"australian electropop, singer-songwriter pop",2024-03-22,159981,20,2024-04-23 10:14:59
Suddenly Okay,Blake Rose,Suddenly Okay,"australian electropop, singer-songwriter pop",2024-03-22,183809,21,2024-04-23 10:09:40
i'll never fall in love with myself - demo,Zeph,goodnight moon (demos),gen z singer-songwriter,2020-11-13,107369,53,2024-04-23 09:56:16
gone for good,Devon Gabriella,From the Next Room,"alt z, singer-songwriter pop",2024-02-23,173503,39,2024-04-23 09:53:49
Espresso,Sabrina Carpenter,Espresso,pop,2024-04-12,175459,97,2024-04-23 09:48:28
"Like Me, Like Me",Katherine Li,"love, k",singer-songwriter pop,2024-02-14,145531,13,2024-04-23 09:41:16
you,Zeph,crush (demos),gen z singer-songwriter,2022-04-18,70703,45,2024-04-23 09:36:46
supernatural (with Troye Sivan),"Ariana Grande, Troye Sivan",eternal sunshine (slightly deluxe),pop,2024-03-11,163381,65,2024-04-20 15:51:04
supernatural,Ariana Grande,eternal sunshine (slightly deluxe),pop,2024-03-11,163381,56,2024-04-20 15:34:22
intro (end of the world),Ariana Grande,eternal sunshine (slightly deluxe),pop,2024-03-11,92400,56,2024-04-20 15:33:56
imperfect for you - acoustic,Ariana Grande,eternal sunshine (slightly deluxe),pop,2024-03-11,183133,54,2024-04-20 15:30:24
true story - a cappella,Ariana Grande,eternal sunshine (slightly deluxe),pop,2024-03-11,162087,50,2024-04-20 15:30:15
All Talk,Cate,"Love, the Madness","alt z, canadian pop",2020-09-25,141561,32,2024-04-11 11:42:24
Figure You Out,Frawley,Figure You Out,"alt z, singer-songwriter pop",2023-08-25,209398,38,2024-04-11 11:39:28
Too Well,Reneé Rapp,Everything To Everyone,alt z,2022-11-11,156631,69,2024-04-11 11:38:00
Look My Age,Brooke Alexx,Look My Age,"alt z, singer-songwriter pop",2023-03-02,178235,24,2024-04-11 11:33:16
Hooked,Sam Short,Hooked,"alt z, singer-songwriter pop",2023-04-11,148394,52,2024-04-11 11:31:16
Not to be Dramatic,Zoe Clark,Not to be Dramatic,"alt z, gen z singer-songwriter",2023-05-05,170704,54,2024-04-11 11:30:10
One of the Guys,JESSIA,One of the Guys,alt z,2022-09-02,118759,48,2024-04-11 11:26:11
Suckerpunch,FLETCHER,Girl Of My Dreams - Deluxe,"alt z, pop",2022-11-18,137973,49,2024-04-11 11:15:29
"You Won't Forget About Me, Right?",NERIAH,"You Won't Forget About Me, Right?","alt z, singer-songwriter pop",2022-04-29,157175,37,2024-04-11 11:13:55
if i blame myself,Miki Ratsula,i’ll be fine if i want to,,2023-10-06,203329,13,2024-04-11 11:12:46
lied to your therapist - acoustic,Miki Ratsula,lied to your therapist (acoustic),,2023-11-24,154536,10,2024-04-11 11:08:59
lied to your therapist,"Miki Ratsula, OSTON",i’ll be fine if i want to,,2023-10-06,145809,38,2024-04-11 11:08:15
Dumb In Love,Brooke Alexx,Dumb In Love,"alt z, singer-songwriter pop",2022-06-23,166451,30,2024-04-11 11:06:11
u turn me on (but u give me depression),LØLØ,u turn me on (but u give me depression),"alt z, canadian pop",2022-08-19,147535,32,2024-04-11 11:05:00
Girlfriend,Brooke Alexx,Girlfriend,"alt z, singer-songwriter pop",2024-03-07,146981,35,2024-04-11 10:58:16
Seriously,Brooke Alexx,Girlfriend,"alt z, singer-songwriter pop",2024-03-07,170090,7,2024-04-11 10:58:12
Move to LA (I Don't Wanna),Brooke Alexx,Girlfriend,"alt z, singer-songwriter pop",2024-03-07,131236,6,2024-04-11 10:58:09
Never Liked Your Name,Brooke Alexx,Seriously,"alt z, singer-songwriter pop",2024-01-18,140000,6,2024-04-11 10:31:56
All My Exes' Moms,Brooke Alexx,All My Exes' Moms,"alt z, singer-songwriter pop",2022-08-25,125407,53,2024-04-11 10:25:29
